,date,open,high,low,close,volume,ratio
99,109/04/07,274.89,275.37,271.98,274.4,48501,1.0272
100,109/04/06,264.71,267.13,261.8,267.13,56174,1.0147
101,109/04/01,268.11,268.11,263.26,263.26,44068,0.9909
102,109/03/31,264.71,265.68,261.31,265.68,48632,1.0243
103,109/03/30,255.5,260.83,254.53,259.38,48934,0.9799
104,109/03/27,275.37,277.31,264.7,264.7,68516,0.975
105,109/03/26,271.0,271.49,267.12,271.49,52605,1.0108
106,109/03/25,268.1,271.5,265.68,268.59,79026,1.0355
107,109/03/24,259.87,265.68,257.93,259.38,81716,1.0490000000000002
108,109/03/23,249.2,254.54,244.36,247.26,76040,0.9444
109,109/03/20,250.67,261.82,248.24,261.82,156269,1.0887
110,109/03/19,244.37,245.34,228.37,240.49,160180,0.9538
111,109/03/18,261.35,264.26,252.14,252.14,116353,0.9701
112,109/03/17,257.0,268.15,257.0,259.91,120713,0.9693
113,109/03/16,276.39,282.2,267.17,268.14,103257,0.9534
114,109/03/13,266.7,285.13,264.27,281.25,149593,0.9864
115,109/03/12,289.98,289.98,278.34,285.13,113131,0.9735
116,109/03/11,299.68,301.14,292.89,292.89,61705,0.9837
117,109/03/10,292.41,299.68,291.92,297.74,71792,1.0049
118,109/03/09,298.23,300.65,296.29,296.29,87466,0.9698
119,109/03/06,310.37,310.85,305.52,305.52,51305,0.9752
120,109/03/05,315.23,316.2,313.29,313.29,37756,1.0078
121,109/03/04,312.32,312.32,307.47,310.87,42792,1.0094
122,109/03/03,308.95,310.4,306.52,307.98,49523,1.0209
123,109/03/02,298.76,307.5,298.76,301.67,79612,0.9842
124,109/02/27,309.42,310.39,305.54,306.51,60981,0.9922
125,109/02/26,307.46,310.86,306.98,308.92,60324,0.9891
126,109/02/25,310.38,313.78,307.96,312.32,36043,1.0063
127,109/02/24,309.88,311.82,309.88,310.36,41452,0.9846
128,109/02/21,315.7,316.67,313.27,315.21,22727,0.9985
129,109/02/20,318.11,319.08,315.2,315.68,26890,0.9969
130,109/02/19,312.78,317.15,312.3,316.66,38610,1.014
131,109/02/18,314.71,316.65,312.29,312.29,61560,0.9713
132,109/02/17,321.52,322.97,320.55,321.52,15806,0.9896
133,109/02/14,326.84,326.84,324.41,324.9,16874,1.0
134,109/02/13,327.81,327.81,324.9,324.9,22671,1.0
135,109/02/12,323.45,325.87,322.96,324.9,37440,1.0106
136,109/02/11,320.52,322.46,320.04,321.49,27429,1.0122
137,109/02/10,311.8,318.1,311.31,317.62,30524,0.9985
138,109/02/07,320.04,320.52,316.16,318.1,28688,0.9865
139,109/02/06,319.54,322.45,319.06,322.45,29112,1.0153
140,109/02/05,319.05,319.53,314.68,317.59,36361,1.0077
141,109/02/04,309.34,316.13,308.38,315.16,51738,1.0317
142,109/02/03,305.48,306.93,302.57,305.48,59317,0.9844
143,109/01/31,313.23,313.72,309.35,310.32,62240,1.0111
144,109/01/30,316.13,316.13,306.91,306.91,124939,0.9505
145,109/01/20,323.86,325.32,322.89,322.89,32503,1.0
146,109/01/17,323.86,325.31,321.92,322.89,51843,0.9955
147,109/01/16,319.99,326.29,319.99,324.35,55090,0.9838
148,109/01/15,334.54,334.54,327.27,329.69,47213,0.9827
149,109/01/14,335.01,335.49,334.04,335.49,30059,1.0132
150,109/01/13,331.6,331.6,328.7,331.12,30553,1.0059
151,109/01/10,330.15,330.63,325.78,329.18,26898,1.0059
152,109/01/09,324.83,327.25,323.37,327.25,31372,1.0243
153,109/01/08,315.12,322.88,315.12,319.49,37426,1.0
154,109/01/07,322.4,322.88,316.58,319.49,50762,0.9925
155,109/01/06,322.87,324.33,321.9,321.9,44900,0.9779
156,109/01/03,333.54,334.51,325.3,329.17,41711,1.0015
157,109/01/02,322.37,328.68,322.37,328.68,31656,1.0242
158,108/12/31,320.91,323.34,320.91,320.91,22803,0.9895
159,108/12/30,327.71,328.68,323.83,324.32,21450,0.9896
160,108/12/27,324.82,327.73,324.82,327.73,16545,1.015
161,108/12/26,322.89,323.86,321.43,322.89,11353,1.0
162,108/12/25,321.92,324.34,320.95,322.89,12197,1.003
163,108/12/24,323.86,324.35,321.92,321.92,13342,0.9940000000000001
164,108/12/23,319.5,323.86,319.5,323.86,26426,1.0152
165,108/12/20,321.92,322.89,318.53,319.01,85782,0.9821
166,108/12/19,329.67,331.61,324.82,324.82,54627,0.9724
167,108/12/18,331.13,334.52,331.13,334.04,39567,0.9986
168,108/12/17,324.81,334.51,324.81,334.51,40644,1.0268
169,108/12/16,326.26,328.2,325.78,325.78,33392,0.9912
170,108/12/13,329.64,332.55,327.7,328.67,57994,1.0226
171,108/12/12,315.1,324.31,314.13,321.41,52551,1.0392
172,108/12/11,304.44,309.29,303.47,309.29,31085,1.0175
173,108/12/10,305.42,305.91,303.0,303.97,20521,0.9921
174,108/12/09,304.45,306.88,304.45,306.39,23126,1.0096
175,108/12/06,305.42,306.39,301.54,303.48,17620,1.0032
176,108/12/05,299.6,302.51,299.6,302.51,34390,1.0196
177,108/12/04,295.73,296.69,294.76,296.69,25373,0.9967
178,108/12/03,295.73,297.67,295.73,297.67,24620,0.9984
179,108/12/02,297.66,298.63,297.18,298.15,23978,1.0082
180,108/11/29,299.6,300.09,295.73,295.73,30803,0.9855
181,108/11/28,300.57,302.51,299.11,300.08,18963,0.9952
182,108/11/27,298.13,302.01,298.13,301.53,18394,1.013
183,108/11/26,300.57,301.05,297.66,297.66,101105,1.0
184,108/11/25,301.05,301.05,297.66,297.66,19441,0.9935
185,108/11/22,300.58,301.06,298.64,299.61,24694,0.9936
186,108/11/21,300.09,301.54,297.66,301.54,28059,0.992
187,108/11/20,304.46,304.46,302.52,303.97,22323,0.9952
188,108/11/19,303.01,305.44,301.56,305.44,31512,1.0129
189,108/11/18,299.13,301.55,297.67,301.55,18548,1.013
190,108/11/15,296.23,298.16,295.26,297.68,28786,1.0115
191,108/11/14,295.27,295.75,292.84,294.3,15679,0.9984
192,108/11/13,293.8,294.77,292.35,294.77,18110,0.9967
193,108/11/12,293.32,295.75,292.84,295.75,17469,1.0133
194,108/11/11,295.75,295.75,290.9,291.87,35003,0.9853
195,108/11/08,299.13,299.62,296.22,296.22,25452,0.9887
196,108/11/07,300.58,300.58,297.18,299.61,28199,0.9936
197,108/11/06,299.6,302.02,298.63,301.54,22011,1.0016
198,108/11/05,298.15,301.06,297.66,301.06,32031,1.0114
199,108/11/04,293.3,298.64,291.85,297.67,44683,1.0268
200,108/11/01,290.39,290.39,287.48,289.9,30061,1.0017
201,108/10/31,290.86,292.32,289.41,289.41,40803,0.9967
202,108/10/30,289.4,290.37,287.46,290.37,32244,1.0034
203,108/10/29,287.93,289.39,287.45,289.39,36532,1.0136
204,108/10/28,285.99,286.48,285.02,285.51,20021,1.0034
205,108/10/25,285.51,285.51,283.57,284.54,22620,1.0017
206,108/10/24,285.51,285.51,282.12,284.06,28947,1.0
207,108/10/23,284.54,284.54,281.64,284.06,28581,0.9966
208,108/10/22,283.57,285.03,282.61,285.03,25910,1.0138
209,108/10/21,282.12,282.12,279.7,281.15,34498,0.9898
210,108/10/18,284.05,286.47,282.11,284.05,44950,0.9983
211,108/10/17,285.99,286.47,283.08,284.53,40083,0.9899
212,108/10/16,288.89,288.89,284.52,287.43,40123,1.0102
213,108/10/15,284.53,286.95,283.07,284.53,37907,1.0121
214,108/10/14,282.58,282.58,279.67,281.13,46557,1.0284
215,108/10/09,274.82,277.24,273.37,273.37,34551,0.9843
216,108/10/08,274.82,277.73,273.85,277.73,35004,1.0306
217,108/10/07,270.45,270.94,269.0,269.48,17448,1.0054
218,108/10/04,270.94,271.43,266.58,268.03,35121,1.0
219,108/10/03,265.61,269.0,265.61,268.03,31823,0.9893
220,108/10/02,271.41,272.38,270.44,270.93,29215,0.9982
221,108/10/01,264.63,271.9,264.63,271.42,71576,1.0294
222,108/09/27,263.18,264.15,262.7,263.67,41126,1.0149
223,108/09/26,260.77,261.25,258.34,259.8,29899,1.0075
224,108/09/25,254.47,257.87,253.99,257.87,20930,1.0038
225,108/09/24,255.44,257.38,253.99,256.89,24191,1.0038
226,108/09/23,255.92,255.92,254.95,255.92,13000,1.0
227,108/09/20,257.86,258.34,255.92,255.92,43804,0.9962
228,108/09/19,259.8,259.8,255.93,256.9,25174,0.9925
229,108/09/18,258.84,261.26,258.36,258.84,47546,1.0075
230,108/09/17,258.37,258.37,256.43,256.91,27521,0.9981
231,108/09/16,254.01,257.4,253.52,257.4,32416,1.0114
232,108/09/12,256.92,256.92,253.53,254.5,25936,0.9981
233,108/09/11,255.95,256.44,252.56,254.98,36138,1.0057
234,108/09/10,255.47,255.96,252.57,253.53,29260,0.9868
235,108/09/09,257.41,257.89,255.47,256.92,17147,1.0057
236,108/09/06,256.92,256.92,254.98,255.46,25255,1.0019
237,108/09/05,254.98,254.98,252.55,254.98,48721,1.0214
238,108/09/04,246.24,250.12,246.24,249.64,22474,1.0138
239,108/09/03,248.67,250.12,245.27,246.24,25709,0.9864
240,108/09/02,250.12,250.12,248.18,249.64,14578,0.9942
241,108/08/30,248.67,251.1,248.19,251.1,35116,1.0197
242,108/08/29,245.28,246.25,243.34,246.25,19493,1.0079
243,108/08/28,242.87,245.29,242.87,244.32,15093,1.008
244,108/08/27,242.87,243.35,240.93,242.38,50176,1.006
245,108/08/26,241.42,242.87,240.93,240.93,31622,0.9783
246,108/08/23,245.79,246.76,245.3,246.27,14109,1.0
