,date,open,high,low,close,volume,ratio
262,107/05/18,225.50,227.50,223.50,223.50,27610,0.9868
263,107/05/17,231.00,231.50,226.50,226.50,26680,0.9826
264,107/05/16,229.50,230.50,228.50,230.50,14351,1.0
265,107/05/15,233.50,234.00,229.50,230.50,23671,0.9893
266,107/05/14,234.50,234.50,232.50,233.00,19876,1.0
267,107/05/11,232.00,234.00,230.50,233.00,30642,1.0153
268,107/05/10,231.00,231.50,229.00,229.50,27484,1.0
269,107/05/09,228.50,232.00,228.50,229.50,33737,1.0066
270,107/05/08,224.00,228.50,223.50,228.00,40273,1.0201
271,107/05/07,225.00,225.50,221.50,223.50,23242,1.0022
272,107/05/04,221.00,224.00,220.50,223.00,27153,1.0113
273,107/05/03,221.00,222.50,220.00,220.50,31604,0.9888
274,107/05/02,227.00,227.50,222.50,223.00,38104,0.9824
275,107/04/30,224.50,228.00,222.50,227.00,28442,1.0157
276,107/04/27,225.00,225.50,221.00,223.50,34100,1.0068
277,107/04/26,225.00,225.50,221.00,222.00,47898,0.9867
278,107/04/25,225.50,226.00,224.00,225.00,46590,0.9912
279,107/04/24,225.00,227.50,225.00,227.00,40897,1.0022
280,107/04/23,226.50,227.50,225.00,226.50,70848,0.9891
281,107/04/20,228.00,231.50,228.00,229.00,128292,0.9366
282,107/04/19,242.00,244.50,241.00,244.50,31835,1.0273
283,107/04/18,239.50,241.50,236.50,238.00,42452,1.0
284,107/04/17,243.00,243.50,237.50,238.00,42694,0.9774
285,107/04/16,243.00,244.00,242.00,243.50,18312,0.9959
286,107/04/13,246.00,246.00,244.00,244.50,19705,0.998
287,107/04/12,248.50,248.50,244.00,245.00,20409,0.9879
288,107/04/11,246.50,248.50,246.50,248.00,21572,1.0102
289,107/04/10,244.50,249.00,243.50,245.50,25126,1.002
290,107/04/09,248.00,248.00,243.50,245.00,34644,1.0041
291,107/04/03,243.00,244.50,242.00,244.00,35766,0.9899
292,107/04/02,248.50,249.00,245.00,246.50,17661,0.996
293,107/03/31,247.50,249.00,246.50,247.50,3569,1.0061
294,107/03/30,247.50,249.50,246.00,246.00,16968,1.0082
295,107/03/29,243.00,247.00,242.50,244.00,36128,0.9959
296,107/03/28,247.50,248.00,244.00,245.00,29582,0.9761
