[tse] 1402 (遠東新, 8029/5352875) : 紡織纖維,紡織纖維,TSE-紡織,加工絲指標,聚酯纖維指標,中概股指標,資產股指標
[tse] 1409 (新纖, 2427/1618409) : 紡織纖維,紡織纖維,TSE-紡織,聚酯纖維指標,資產股指標
[tse] 1410 (南染, 94/63000) : 紡織纖維,染整指標
[tse] 1413 (宏洲, 198/132112) : 紡織纖維,加工絲指標
[tse] 1414 (東和, 330/220000) : 紡織纖維,紡織指標
[tse] 1416 (廣豐, 278/185342) : 其他
[tse] 1417 (嘉裕, 284/189941) : 紡織纖維,紡織纖維,成衣指標
[tse] 1418 (東華, 85/56834) : 紡織纖維,紡織指標
[tse] 1419 (新紡, 450/300041) : 紡織纖維,TSE-紡織,成衣指標,長織布指標,資產股指標
[tse] 1423 (利華, 207/138400) : 紡織纖維
[tse] 1432 (大魯閣, 251/167937) : 貿易百貨,TSE-貿易百貨,務業租貸指標
[tse] 1434 (福懋, 2526/1684664) : 紡織纖維,紡織纖維,TSE-紡織,油電燃氣指標,尼龍指標,長織布指標
[tse] 1435 (中福, 209/139780) : 其他,務業租貸指標
[tse] 1436 (華友聯, 143/95634) : 建材營造
[tse] 1437 (勤益控, 305/203371) : 其他,務業租貸指標
[tse] 1438 (裕豐, 153/102411) : 建材營造,家居用品指標
[tse] 1439 (中和, 138/92000) : 紡織纖維,紡織纖維,TSE-紡織
[tse] 1440 (南紡, 2485/1656815) : 紡織纖維,紡織纖維,TSE-紡織,紡織指標,聚酯纖維指標,資產股指標
[tse] 1441 (大東, 151/100800) : 紡織纖維,紡織指標
[tse] 1442 (名軒, 461/307726) : 建材營造
[tse] 1443 (立益, 203/135343) : 紡織纖維,陸運指標
[tse] 1444 (力麗, 1435/957302) : 紡織纖維,紡織纖維,TSE-紡織,加工絲指標,聚酯纖維指標,APPLE
[tse] 1445 (大宇, 195/130666) : 紡織纖維,加工絲指標,長織布指標
[tse] 1446 (宏和, 206/137709) : 紡織纖維,TSE-紡織,長織布指標
[tse] 1447 (力鵬, 1371/914487) : 紡織纖維,TSE-紡織,尼龍指標
